state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
South Carolina,2000-01-01,5309823.995327908,138076.19702647423,1
South Carolina,2001-01-01,5638576.474683537,141409.20295635858,1
South Carolina,2002-01-01,5990948.468119102,144481.70182455974,1
South Carolina,2003-01-01,6070907.308287009,145242.9207371282,1
South Carolina,2004-01-01,6102995.247770501,146742.8701691431,1
South Carolina,2005-01-01,6305528.594362921,150880.73317128327,1
South Carolina,2006-01-01,6531545.089717615,158752.32663460623,1
South Carolina,2007-01-01,6799903.648540471,166402.01348818655,1
South Carolina,2008-01-01,7264567.111338654,164728.46605215274,1
South Carolina,2009-01-01,7358706.027758999,157087.24400096657,1
South Carolina,2010-01-01,7117492.159495948,147264.10861979355,1
South Carolina,2011-01-01,6838428.229347845,139069.17857205682,1
South Carolina,2012-01-01,6772787.2286674185,130122.30950314479,1
South Carolina,2013-01-01,6852345.854398486,131378.7840820805,1
South Carolina,2014-01-01,7112337.020494025,135418.82704995677,1
South Carolina,2015-01-01,7253389.569379239,139470.67373034562,1
South Carolina,2016-01-01,7419325.0,147413.5274247964,1
Tennessee,2000-01-01,6513957.985302304,128594.66867351002,1
Tennessee,2001-01-01,6617940.139964724,129664.82660099071,1
Tennessee,2002-01-01,6760086.4151605405,131577.37586738038,1
Tennessee,2003-01-01,6956998.3173156055,131939.5388597553,1
Tennessee,2004-01-01,7094314.217565114,132298.17610241167,1
Tennessee,2005-01-01,7327720.476325087,133974.89184785634,1
Tennessee,2006-01-01,7412064.610305912,139157.7081806206,1
Tennessee,2007-01-01,7590522.883752166,143851.08611581256,1
Tennessee,2008-01-01,8049006.275277088,143475.9083187727,1
Tennessee,2009-01-01,8430227.977917627,138028.30731562272,1
Tennessee,2010-01-01,8563002.001646183,131489.43610355037,1
Tennessee,2011-01-01,8706181.231986174,126165.45588942147,1
Tennessee,2012-01-01,8350396.038086071,119955.4342323691,1
Tennessee,2013-01-01,8205980.1489605615,120882.16452546592,1
Tennessee,2014-01-01,8394194.35609042,124517.30322948663,1
Tennessee,2015-01-01,8327476.165699825,130033.37932582152,1
Tennessee,2016-01-01,8294164.999999999,139276.41556612527,1
Texas,2000-01-01,31146742.811897397,142587.08130652446,1
Texas,2001-01-01,32418631.24650526,142199.2379810987,1
Texas,2002-01-01,33849226.335203156,140792.90282450194,1
Texas,2003-01-01,35135361.45756456,143396.07625513212,1
Texas,2004-01-01,36107399.463040665,142714.575273302,1
Texas,2005-01-01,35950737.80606045,148856.13910002232,1
Texas,2006-01-01,36863096.23495086,148814.83276919965,1
Texas,2007-01-01,38161623.72709296,151715.6294262061,1
Texas,2008-01-01,40622496.75889559,152809.89969771926,1
Texas,2009-01-01,41873803.330363065,146610.09510771118,1
Texas,2010-01-01,43496290.11668543,144210.67669849706,1
Texas,2011-01-01,42421137.73792725,138265.1167804603,1
Texas,2012-01-01,39946931.176575355,132615.73483276088,1
Texas,2013-01-01,39966477.321059406,134648.11165970357,1
Texas,2014-01-01,41205395.79279817,142113.22069053666,1
Texas,2015-01-01,42559741.932568446,152902.14394889597,1
Texas,2016-01-01,43287224.0,165066.45892333137,1
Virginia,2000-01-01,10875270.922583383,158500.14418527338,1
Virginia,2001-01-01,11288020.792824885,165853.87393847678,1
Virginia,2002-01-01,11757145.801109456,177861.8209511748,1
Virginia,2003-01-01,11962609.987294612,192403.5784347013,1
Virginia,2004-01-01,12071590.080030253,209890.12885276397,1
Virginia,2005-01-01,12778826.855406813,245707.71627215773,1
Virginia,2006-01-01,13479271.1277344,284195.4886997937,1
Virginia,2007-01-01,14123664.276465727,286815.88492126146,1
Virginia,2008-01-01,14628445.232554846,271841.668514531,1
Virginia,2009-01-01,14765486.099700645,244693.8211353192,1
Virginia,2010-01-01,14677896.547332479,230341.0627159336,1
Virginia,2011-01-01,14266834.603048628,221514.01593345482,1
Virginia,2012-01-01,14146514.462844329,211122.75695070898,1
Virginia,2013-01-01,14267238.124347627,217555.2982964596,1
Virginia,2014-01-01,14436298.438283646,223822.3232832055,1
Virginia,2015-01-01,14641537.272839539,227360.25497895034,1
Virginia,2016-01-01,14385735.999999998,234532.9826594948,1
West Virginia,2000-01-01,2689750.943723172,80047.20067912724,1
West Virginia,2001-01-01,2685016.0314205177,81948.28992492928,1
West Virginia,2002-01-01,2697502.9996480825,83899.33834508866,1
West Virginia,2003-01-01,2726629.57719491,85298.0806645157,1
West Virginia,2004-01-01,2734561.1544339345,87185.00530965823,1
West Virginia,2005-01-01,2746677.864899439,91460.45399896453,1
West Virginia,2006-01-01,2791699.1741561512,95168.0818929232,1
West Virginia,2007-01-01,2809099.5310921427,95309.48023367854,1
West Virginia,2008-01-01,2832323.6167258974,95183.15981062857,1
West Virginia,2009-01-01,3011587.0473818486,93359.54134602692,1
West Virginia,2010-01-01,3284560.6176483356,89018.26284900674,1
West Virginia,2011-01-01,3242884.3209740096,87262.94827901626,1
West Virginia,2012-01-01,3083133.664023918,85110.73200812277,1
West Virginia,2013-01-01,2960715.585111746,89042.04461118132,1
West Virginia,2014-01-01,2909416.4455080633,88408.47313005681,1
West Virginia,2015-01-01,2914675.7947781323,94571.49547043214,1
West Virginia,2016-01-01,2873668.0,100341.41304749931,1
