state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
New York,2011-01-01,54202806.5375743,227051.81596392745,1
New York,2012-01-01,53863517.37487456,216691.58963227365,1
New York,2013-01-01,56782423.52182938,215594.73523469892,1
New York,2014-01-01,57704311.1297138,221185.44517569072,1
New York,2015-01-01,59343611.44130778,227919.63337535868,1
New York,2016-01-01,56656536.0,237939.42422693782,1
Pennsylvania,2000-01-01,19100296.497731533,121029.2484601234,1
Pennsylvania,2001-01-01,18468924.50133154,124154.72063644673,1
Pennsylvania,2002-01-01,17978194.633276332,129119.62075938092,1
Pennsylvania,2003-01-01,19991762.12152373,136055.34952400098,1
Pennsylvania,2004-01-01,21768943.977169793,144172.83634934397,1
Pennsylvania,2005-01-01,22302949.245402213,155320.46446689114,1
Pennsylvania,2006-01-01,22548688.53810986,167478.1165320877,1
Pennsylvania,2007-01-01,22744676.475602344,172470.68151714245,1
Pennsylvania,2008-01-01,23188223.761829518,172307.44695562485,1
Pennsylvania,2009-01-01,23602319.318029623,165574.29624444165,1
Pennsylvania,2010-01-01,24169310.022126336,160988.03825979694,1
Pennsylvania,2011-01-01,23722678.13542977,154663.70230678897,1
Pennsylvania,2012-01-01,23214901.415858515,146070.60708761404,1
Pennsylvania,2013-01-01,24943207.782452933,144842.5663319264,1
Pennsylvania,2014-01-01,24557854.022688907,145597.6463268519,1
Pennsylvania,2015-01-01,25232682.637297783,146702.13512868126,1
Pennsylvania,2016-01-01,25955384.0,151009.44685342655,1
Rhode Island,2000-01-01,1753576.3215793693,173784.19243408568,1
Rhode Island,2001-01-01,1858593.4065662797,185057.56978671608,1
Rhode Island,2002-01-01,1971519.0662427496,207576.89147761645,1
Rhode Island,2003-01-01,2082870.6903086859,243273.4150543181,1
Rhode Island,2004-01-01,2174021.4392800787,282446.18182263355,1
Rhode Island,2005-01-01,2164185.92276223,320123.825423227,1
Rhode Island,2006-01-01,2176839.014163055,340525.0129858497,1
Rhode Island,2007-01-01,2275233.7452767603,326467.27712502645,1
Rhode Island,2008-01-01,2302724.625690364,306185.6264104751,1
Rhode Island,2009-01-01,2318615.090147583,267851.47526904085,1
Rhode Island,2010-01-01,2304586.4285836797,247745.4765629781,1
Rhode Island,2011-01-01,2270870.857352476,238334.34740367017,1
Rhode Island,2012-01-01,2244856.198396736,217626.4806214902,1
Rhode Island,2013-01-01,2261587.7945102328,213916.49438319315,1
Rhode Island,2014-01-01,2236093.6339149005,221661.23849297606,1
Rhode Island,2015-01-01,2258342.343172393,227152.08301590587,1
Rhode Island,2016-01-01,2297516.0,238279.93850371148,1
Vermont,2000-01-01,1121974.6549616521,122962.3718993262,1
Vermont,2001-01-01,1115357.496647766,128469.64469970565,1
Vermont,2002-01-01,1116066.5668877237,137518.2902379541,1
Vermont,2003-01-01,1223859.1847868282,145758.19867207724,1
Vermont,2004-01-01,1317875.5876818288,155974.18364239417,1
Vermont,2005-01-01,1352722.3900310092,170129.1476331815,1
Vermont,2006-01-01,1361463.9275846377,184868.14334746456,1
Vermont,2007-01-01,1392803.7709084535,193560.3665401557,1
Vermont,2008-01-01,1427745.5543954293,194952.952503077,1
Vermont,2009-01-01,1486653.261736301,189771.02612992798,1
Vermont,2010-01-01,1516598.5253392279,182755.50027850727,1
Vermont,2011-01-01,1488883.510657412,180349.12255424375,1
Vermont,2012-01-01,1486411.3082702167,176173.47863388906,1
Vermont,2013-01-01,1498809.8761554065,180710.88489077022,1
Vermont,2014-01-01,1501228.579939038,183701.15002468202,1
Vermont,2015-01-01,1517429.656304228,187462.80608164295,1
Vermont,2016-01-01,1536843.0,191959.9461474493,1
