,state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
185,Georgia,2015-01-01,16036485.611454092,139598.56655077662,1
186,Georgia,2016-01-01,16563441.0,148872.0239731581,1
187,Hawaii,2000-01-01,1291687.0429805527,239242.64995096487,1
188,Hawaii,2001-01-01,1497379.423697732,246427.8761248581,1
189,Hawaii,2002-01-01,1704958.0760010958,257222.5501136167,1
190,Hawaii,2003-01-01,1839321.5262081416,278116.436621123,1
191,Hawaii,2004-01-01,1954226.1603570434,318782.58208549453,1
192,Hawaii,2005-01-01,1940864.818795607,385202.66760369355,1
193,Hawaii,2006-01-01,2047826.7064988045,470447.8471893665,1
194,Hawaii,2007-01-01,2218159.921949636,493919.13098126627,1
195,Hawaii,2008-01-01,2283415.2092363555,481480.8291866004,1
196,Hawaii,2009-01-01,2384669.3298281995,451910.20824678754,1
197,Hawaii,2010-01-01,2043496.1634220993,407303.4515389094,1
198,Hawaii,2011-01-01,1871097.6415387192,415466.9429558473,1
199,Hawaii,2012-01-01,1765621.7731936183,394320.3891319188,1
200,Hawaii,2013-01-01,1735048.7142062695,403625.3790394967,1
201,Hawaii,2014-01-01,1928505.8574099739,432578.4877124965,1
202,Hawaii,2015-01-01,1790382.0190252562,478600.46242534975,1
203,Hawaii,2016-01-01,1843481.0000000002,507857.2039718676,1
204,Idaho,2000-01-01,1662808.7210655794,158855.7191578179,1
205,Idaho,2001-01-01,1763627.0095996985,159257.89071370347,1
206,Idaho,2002-01-01,1871907.784615679,163086.62332975082,1
207,Idaho,2003-01-01,1872955.9076431189,163776.3611542154,1
208,Idaho,2004-01-01,1860296.67115268,164276.74535511184,1
209,Idaho,2005-01-01,1892556.5416563556,169125.42684068554,1
210,Idaho,2006-01-01,1911802.108617235,198538.14692789354,1
211,Idaho,2007-01-01,1946242.029374294,216031.60644833924,1
212,Idaho,2008-01-01,2012521.1861497038,216147.7972778633,1
213,Idaho,2009-01-01,2073791.5493690835,200695.7281429961,1
214,Idaho,2010-01-01,2043720.473441442,175891.2208178053,1
215,Idaho,2011-01-01,1915260.878342934,154645.6878955141,1
216,Idaho,2012-01-01,1844518.5504808195,144303.91140165317,1
217,Idaho,2013-01-01,1885396.4077659727,155713.1404814075,1
218,Idaho,2014-01-01,1868180.6269481494,169755.01330009746,1
219,Idaho,2015-01-01,1883945.3992322637,176661.09782968994,1
220,Idaho,2016-01-01,1935653.0,189176.26739059185,1
221,Illinois,2000-01-01,18470899.75050459,150123.15850356806,1
222,Illinois,2001-01-01,18749628.96972592,157521.3510324317,1
223,Illinois,2002-01-01,19137070.691615574,167543.28234037836,1
224,Illinois,2003-01-01,20013318.2253549,176867.99028439788,1
225,Illinois,2004-01-01,20704190.833759416,185155.52894259585,1
226,Illinois,2005-01-01,20827319.104011413,194689.3014948638,1
227,Illinois,2006-01-01,21284605.417148992,204878.9018871801,1
228,Illinois,2007-01-01,21562422.882986248,207232.1801331454,1
229,Illinois,2008-01-01,22275021.18438728,200346.58246906608,1
230,Illinois,2009-01-01,23737621.457564093,178981.53169245686,1
231,Illinois,2010-01-01,24185392.170866083,160466.51028772016,1
232,Illinois,2011-01-01,23806122.836575534,146323.55757659668,1
233,Illinois,2012-01-01,23510114.558931652,131940.25598213324,1
234,Illinois,2013-01-01,23353450.00134256,128284.29285918978,1
235,Illinois,2014-01-01,23788643.32130984,138502.52575073004,1
236,Illinois,2015-01-01,23951651.640545465,145461.58081102045,1
237,Illinois,2016-01-01,23933484.0,151808.45846992245,1
238,Indiana,2000-01-01,8245306.225844493,125615.79839133653,1
239,Indiana,2001-01-01,8481883.97141383,126112.08720651949,1
240,Indiana,2002-01-01,8763546.86394101,127384.2452450807,1
241,Indiana,2003-01-01,9160490.535201048,126461.64921637908,1
242,Indiana,2004-01-01,9472769.10786035,125846.54974585192,1
243,Indiana,2005-01-01,9938129.291610021,126563.81248328245,1
244,Indiana,2006-01-01,9709369.190579476,129144.95946856745,1
245,Indiana,2007-01-01,9779897.07207429,128697.00554598316,1
246,Indiana,2008-01-01,9380111.795217946,127045.48477945157,1
247,Indiana,2009-01-01,9609350.682122024,123465.30611163082,1
248,Indiana,2010-01-01,9726483.777711665,119722.72804377225,1
249,Indiana,2011-01-01,9212313.964832332,115103.60034850767,1
250,Indiana,2012-01-01,9056059.79417517,111017.68516709357,1
251,Indiana,2013-01-01,8735093.334416363,111318.17657227334,1
252,Indiana,2014-01-01,8577576.52787937,112967.5874115609,1
253,Indiana,2015-01-01,8574991.126461405,116487.60111701135,1
254,Indiana,2016-01-01,8643916.0,120669.78950711794,1
255,Iowa,2000-01-01,4158791.02347812,105149.14100556314,1
256,Iowa,2001-01-01,4113278.6214201003,107667.08854280028,1
257,Iowa,2002-01-01,4095564.889645315,110746.86590488227,1
258,Iowa,2003-01-01,4293635.725700216,113049.9343302978,1
259,Iowa,2004-01-01,4451482.84227085,114798.83033455435,1
260,Iowa,2005-01-01,4487865.168554664,115465.5806303776,1
261,Iowa,2006-01-01,4586693.079664889,117919.15580746681,1
262,Iowa,2007-01-01,4677979.615996211,117870.99974020662,1
263,Iowa,2008-01-01,4875991.624034334,117353.69422851564,1
264,Iowa,2009-01-01,5097912.878350704,115541.93822227155,1
265,Iowa,2010-01-01,5110056.03080105,113009.52456333183,1
266,Iowa,2011-01-01,5079398.07312918,109398.55829678255,1
267,Iowa,2012-01-01,5106831.6661042785,105863.5806778135,1
268,Iowa,2013-01-01,5202242.610202887,108832.93077153369,1
269,Iowa,2014-01-01,5308144.901298449,112248.96058970239,1
270,Iowa,2015-01-01,5435767.25927412,115700.69711658104,1
271,Iowa,2016-01-01,5517359.0,122906.28032445068,1
272,Kansas,2000-01-01,3766567.4401480057,99574.21141291503,1
273,Kansas,2001-01-01,3908011.56543732,101273.56413957088,1
274,Kansas,2002-01-01,4069026.241365895,106147.91873036572,1
275,Kansas,2003-01-01,4106601.5877982113,106711.23846372984,1
276,Kansas,2004-01-01,4112536.8092260645,106770.54665099668,1
277,Kansas,2005-01-01,4089913.0927166683,110787.13169646802,1
278,Kansas,2006-01-01,4265496.896330479,110334.70328165645,1
279,Kansas,2007-01-01,4490928.27529002,111342.4309265502,1
280,Kansas,2008-01-01,4711981.414099901,111833.97712033213,1
281,Kansas,2009-01-01,4837943.376381287,110741.91801341194,1
282,Kansas,2010-01-01,4678181.174882839,109609.23124534375,1
283,Kansas,2011-01-01,4596635.80262855,105097.93956285426,1
284,Kansas,2012-01-01,4530387.368406129,100185.69140431494,1
285,Kansas,2013-01-01,4563657.731204506,102968.94550351783,1
286,Kansas,2014-01-01,4574321.3973403685,105300.34292852454,1
287,Kansas,2015-01-01,4591643.462855425,109791.98265776786,1
288,Kansas,2016-01-01,4532902.0,115878.1581535433,1
289,Kentucky,2000-01-01,4511423.6325721545,108658.83392129529,1
290,Kentucky,2001-01-01,4631054.492072516,110930.99956174486,1
291,Kentucky,2002-01-01,4775655.597045418,114518.73278821852,1
292,Kentucky,2003-01-01,4869883.9770244835,115754.91185812914,1
293,Kentucky,2004-01-01,4924356.945152436,116652.32379972097,1
294,Kentucky,2005-01-01,5369423.253747035,116863.18416959322,1
295,Kentucky,2006-01-01,5665447.5361209065,118315.77203958089,1
296,Kentucky,2007-01-01,5695421.757665511,118430.73160481638,1
297,Kentucky,2008-01-01,6085082.283049507,116940.25673728899,1
298,Kentucky,2009-01-01,6058524.685838055,115359.12960753869,1
299,Kentucky,2010-01-01,6271393.666975757,112569.35891317666,1
300,Kentucky,2011-01-01,6351424.030348105,108916.8269805619,1
301,Kentucky,2012-01-01,6368033.882062901,104083.9885881032,1
302,Kentucky,2013-01-01,6243349.15540945,104533.05867593182,1
303,Kentucky,2014-01-01,6117813.85312338,105678.59115219775,1
304,Kentucky,2015-01-01,6200535.653780968,108120.20145163195,1
305,Kentucky,2016-01-01,6283316.0,112452.12028559497,1
306,Louisiana,2000-01-01,5749510.941794539,115928.9911621342,1
307,Louisiana,2001-01-01,5934189.768816566,118609.7851139267,1
308,Louisiana,2002-01-01,6149701.419758712,122490.89990359073,1
309,Louisiana,2003-01-01,6342640.399879468,125654.29002322898,1
310,Louisiana,2004-01-01,6480643.715007338,126755.89144644923,1
311,Louisiana,2005-01-01,6596270.057696937,129935.5131587791,1
312,Louisiana,2006-01-01,6391550.142961745,136057.54958744886,1
313,Louisiana,2007-01-01,6791141.234699931,142659.3438294098,1
314,Louisiana,2008-01-01,7468081.999698741,143826.98497182157,1
315,Louisiana,2009-01-01,7896418.2513100095,141854.38765075695,1
316,Louisiana,2010-01-01,7913520.0375513565,139288.47482994612,1
317,Louisiana,2011-01-01,7876551.362287778,135391.4772664268,1
318,Louisiana,2012-01-01,8230857.06855866,129438.58362009692,1
319,Louisiana,2013-01-01,7233933.820897892,130080.11922444457,1
320,Louisiana,2014-01-01,7229375.210494104,133889.96451392843,1
321,Louisiana,2015-01-01,7351222.312226015,136715.47756371245,1
322,Louisiana,2016-01-01,7295542.0,143281.5240866796,1
323,Maine,2000-01-01,2026358.8658769368,128708.42493895737,1
324,Maine,2001-01-01,2070439.4838813248,136998.4397332905,1
325,Maine,2002-01-01,2126030.7409887672,150739.62325771162,1
326,Maine,2003-01-01,2200482.2466071895,165815.49943413443,1
327,Maine,2004-01-01,2255535.3411391336,181833.83828056743,1
328,Maine,2005-01-01,2270615.9077295763,201796.9757583498,1
329,Maine,2006-01-01,2306185.4078707583,211944.32503592074,1
330,Maine,2007-01-01,2340029.039182398,208480.75409648122,1
331,Maine,2008-01-01,2367032.978609892,202558.95456190305,1
332,Maine,2009-01-01,2453091.5516860452,190672.04664851696,1
333,Maine,2010-01-01,2426369.17614416,177039.0395976197,1
334,Maine,2011-01-01,2389879.6802165275,170071.62395518494,1
335,Maine,2012-01-01,2291995.0507764965,164712.0421737778,1
336,Maine,2013-01-01,2205612.1788870483,162882.61180449466,1
337,Maine,2014-01-01,2223887.8102491237,166483.61788495295,1
338,Maine,2015-01-01,2284546.351766235,168681.29480299863,1
339,Maine,2016-01-01,2290535.0,177693.3433258301,1
340,Maryland,2000-01-01,7703580.434504469,191833.1764191441,1
341,Maryland,2001-01-01,8240114.214880437,196220.71045032045,1
342,Maryland,2002-01-01,8809089.042720277,208391.4602350117,1
343,Maryland,2003-01-01,8990697.18516496,229781.52653663402,1
344,Maryland,2004-01-01,9098566.645342423,256890.73118353455,1
345,Maryland,2005-01-01,9349687.179209068,298776.25885637174,1
346,Maryland,2006-01-01,9825178.652252808,349882.2336558617,1
347,Maryland,2007-01-01,10542232.783126995,365940.7370954186,1
348,Maryland,2008-01-01,11202620.79769298,347032.30980559695,1
349,Maryland,2009-01-01,11603032.548727507,303161.11684734334,1
350,Maryland,2010-01-01,11709968.214488203,271374.6856497264,1
351,Maryland,2011-01-01,11557330.242291262,252740.02023357694,1
352,Maryland,2012-01-01,11293594.561125575,236187.55797001917,1
353,Maryland,2013-01-01,11445784.018116612,240324.75347843656,1
354,Maryland,2014-01-01,11514922.019799605,251884.6697769254,1
355,Maryland,2015-01-01,11685969.730762212,258748.02318224678,1
356,Maryland,2016-01-01,10459539.0,265616.8814998597,1
357,Massachusetts,2000-01-01,10415140.700757291,253208.23273048704,1
358,Massachusetts,2001-01-01,10976576.231606057,280323.9806911162,1
359,Massachusetts,2002-01-01,11586903.556617169,317726.48748995207,1
360,Massachusetts,2003-01-01,11787546.628022194,355125.315532675,1
361,Massachusetts,2004-01-01,11893197.955814958,383855.1229108839,1
362,Massachusetts,2005-01-01,12068342.207305863,409197.2109983046,1
363,Massachusetts,2006-01-01,12230354.340914568,416928.3464564769,1
364,Massachusetts,2007-01-01,12417549.138924226,388199.28651652625,1
365,Massachusetts,2008-01-01,12925600.408652117,364669.177834986,1
366,Massachusetts,2009-01-01,13605756.813440213,334812.2426323438,1
367,Massachusetts,2010-01-01,13248599.701433277,322362.8881355819,1
368,Massachusetts,2011-01-01,13020849.43340359,313425.4602143172,1
369,Massachusetts,2012-01-01,13342992.648604995,293269.00078071683,1
370,Massachusetts,2013-01-01,13415999.113160707,296892.7453798261,1
371,Massachusetts,2014-01-01,13876274.029849047,313577.2480809165,1
372,Massachusetts,2015-01-01,14086189.852502946,324882.12801831926,1
373,Massachusetts,2016-01-01,13998163.0,344300.8502319888,1
374,Michigan,2000-01-01,17550060.63409282,136982.4257975811,1
375,Michigan,2001-01-01,17388299.041958824,143343.2566901141,1
376,Michigan,2002-01-01,17342923.130071174,149064.3312586076,1
377,Michigan,2003-01-01,18590475.87978126,151540.66110733236,1
378,Michigan,2004-01-01,19646325.96090289,153511.7033100701,1
379,Michigan,2005-01-01,19440226.142735142,154114.47293486417,1
380,Michigan,2006-01-01,17529771.346669666,152695.7391257133,1
381,Michigan,2007-01-01,19098123.252203435,145816.5943349976,1
382,Michigan,2008-01-01,18034917.69454087,133358.24496819742,1
383,Michigan,2009-01-01,18037570.103728604,114361.8521749051,1
384,Michigan,2010-01-01,17794134.486642364,98126.4236364809,1
385,Michigan,2011-01-01,16876837.84158157,91547.4598048629,1
386,Michigan,2012-01-01,16115456.109347444,86124.52178433686,1
387,Michigan,2013-01-01,15508438.997598555,91911.09183077469,1
388,Michigan,2014-01-01,15230467.575250423,103186.80931441934,1
389,Michigan,2015-01-01,15365701.776293308,110830.47375582877,1
390,Michigan,2016-01-01,15328154.999999998,119104.5232430197,1
391,Minnesota,2000-01-01,8194083.522578899,155940.33438626782,1
392,Minnesota,2001-01-01,8152125.768621829,171106.00849038147,1
393,Minnesota,2002-01-01,8163477.9589526765,190129.90815943296,1
394,Minnesota,2003-01-01,8342587.149322077,202941.09924827085,1
395,Minnesota,2004-01-01,8452797.823965292,213992.63021463525,1
396,Minnesota,2005-01-01,8519772.560012149,223586.081955381,1
397,Minnesota,2006-01-01,8672731.84800144,229382.3740747712,1
398,Minnesota,2007-01-01,8831092.126744816,223925.05919040472,1
399,Minnesota,2008-01-01,9077465.081914352,211213.13584924932,1
400,Minnesota,2009-01-01,9848027.261647226,189864.42808805537,1
401,Minnesota,2010-01-01,9337310.292387476,176773.75522350083,1
402,Minnesota,2011-01-01,9140030.986161875,165272.56533082348,1
403,Minnesota,2012-01-01,9046165.710691156,149867.1539629627,1
404,Minnesota,2013-01-01,9170829.998146974,159983.92920672137,1
405,Minnesota,2014-01-01,9341612.123244526,172676.96408533474,1
406,Minnesota,2015-01-01,9674996.905195467,179116.6979588123,1
407,Minnesota,2016-01-01,9987116.0,190394.0208200733,1
408,Mississippi,2000-01-01,3292141.1552283172,92410.15703260584,1
409,Mississippi,2001-01-01,3304400.9370164103,94631.0250994209,1
410,Mississippi,2002-01-01,3337185.4308225783,96812.01799478279,1
411,Mississippi,2003-01-01,3543479.729076431,97453.49724708163,1
412,Mississippi,2004-01-01,3714651.009394053,97601.489564753,1
413,Mississippi,2005-01-01,3815497.1371534034,98648.04535433507,1
414,Mississippi,2006-01-01,4027087.234563731,102516.88866995514,1
415,Mississippi,2007-01-01,4050896.904512358,108239.21544338587,1
416,Mississippi,2008-01-01,4183534.8061713832,108232.46590597543,1
417,Mississippi,2009-01-01,4232699.149836049,103595.81744748635,1
418,Mississippi,2010-01-01,4207285.172070318,99432.67516086077,1
419,Mississippi,2011-01-01,4015651.0206522173,94859.66913682612,1
420,Mississippi,2012-01-01,4047955.368290575,91943.86147955377,1
421,Mississippi,2013-01-01,3997377.4602600066,91091.6518760164,1
422,Mississippi,2014-01-01,3962726.491306435,90353.73099217359,1
423,Mississippi,2015-01-01,4027128.073585502,95657.56431789162,1
424,Mississippi,2016-01-01,4077662.9999999995,112131.4008980642,1
425,Missouri,2000-01-01,7355066.295003897,117372.99047754992,1
426,Missouri,2001-01-01,7731249.975863427,122290.64573018595,1
427,Missouri,2002-01-01,8142583.471462423,128808.28558124595,1
428,Missouri,2003-01-01,8163405.555537149,134375.81009661537,1
429,Missouri,2004-01-01,8123756.094537566,139168.0027457822,1
