state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
Utah,2015-01-01,3759422.7747191223,229950.67254972624,1
Utah,2016-01-01,3931265.0,250496.2855464929,1
Washington,2000-01-01,8410115.480270386,230085.19774067972,1
Washington,2001-01-01,8573546.278899886,236451.54521406195,1
Washington,2002-01-01,8785353.552215455,244233.19197557057,1
Washington,2003-01-01,8882876.993768632,248313.3072346879,1
Washington,2004-01-01,8911231.110688467,258098.43132576265,1
Washington,2005-01-01,9009019.38877984,278513.1122334789,1
Washington,2006-01-01,9136957.886044351,319770.8716513005,1
Washington,2007-01-01,9476869.58569437,349121.00844144536,1
Washington,2008-01-01,10176034.473616388,347758.976287275,1
Washington,2009-01-01,10702966.751702124,313062.24040184054,1
Washington,2010-01-01,10445334.71484719,283214.6334676408,1
Washington,2011-01-01,10343004.422701413,258612.1703414113,1
Washington,2012-01-01,10414021.430607429,230797.4671034538,1
Washington,2013-01-01,10307926.659934146,230335.28929442322,1
Washington,2014-01-01,10781019.96603607,248726.2482701107,1
Washington,2015-01-01,11411127.617035976,262319.1456245256,1
Washington,2016-01-01,12315163.0,289614.3667158621,1
Wyoming,2003-01-01,993194.5405967681,171610.60801948464,1
Wyoming,2004-01-01,999367.5406715457,176155.72289005434,1
Wyoming,2005-01-01,1026569.9215368103,186248.7732120774,1
Wyoming,2006-01-01,1115275.336048226,194789.13102454747,1
Wyoming,2007-01-01,1271824.934097161,208567.75149261786,1
Wyoming,2008-01-01,1319297.2327879132,214744.80885533063,1
Wyoming,2009-01-01,1395132.085914671,211829.70578309637,1
Wyoming,2010-01-01,1453766.4300681048,203617.45986647732,1
Wyoming,2011-01-01,1492999.409284913,198594.4583132186,1
Wyoming,2012-01-01,1500243.146044547,194314.8981980451,1
Wyoming,2013-01-01,1481604.8358268484,202100.6225782033,1
Wyoming,2014-01-01,1483239.6543625805,202650.31717034086,1
Wyoming,2015-01-01,1510709.980495762,208274.54367512118,1
Wyoming,2016-01-01,1542763.0,220630.85916497008,1
