state,year,adjusted_EducationSpend,adjusted_homeValuation,intercept
Missouri,2003-01-01,8163405.555537149,134375.81009661537,1
Missouri,2004-01-01,8123756.094537566,139168.0027457822,1
Missouri,2005-01-01,8178379.728527225,141315.125644133,1
Missouri,2006-01-01,8424042.88618192,144100.48997660738,1
Missouri,2007-01-01,8675709.65856951,144516.99013701524,1
Missouri,2008-01-01,9020085.586412814,140898.25344404505,1
Missouri,2009-01-01,9259491.33039856,135124.67137119378,1
Missouri,2010-01-01,9260486.309880381,129412.71736776765,1
Missouri,2011-01-01,8834215.732578523,121895.08959180741,1
Missouri,2012-01-01,8669973.771480754,113257.84693024556,1
Missouri,2013-01-01,8710936.027852116,114175.04527307917,1
Missouri,2014-01-01,8774247.89857296,117039.97678322892,1
Missouri,2015-01-01,8952902.946669905,120545.07780596512,1
Missouri,2016-01-01,8996869.0,127319.08032742204,1
Nebraska,2000-01-01,2330248.797817927,146566.46077516192,1
Nebraska,2001-01-01,2466512.737314182,146907.32320339966,1
Nebraska,2002-01-01,2613387.3862777893,134253.142569685,1
Nebraska,2003-01-01,2676337.973754086,136631.7407087516,1
Nebraska,2004-01-01,2716938.5480233077,139812.22866326783,1
Nebraska,2005-01-01,2683183.6028486383,141956.1095794419,1
Nebraska,2006-01-01,2715820.6141817113,142933.2568472018,1
Nebraska,2007-01-01,2880005.801121559,142600.78973802473,1
Nebraska,2008-01-01,2951850.0468801623,138546.0756762622,1
Nebraska,2009-01-01,3113971.118886804,133049.10309331093,1
Nebraska,2010-01-01,3332368.339859161,134193.41830764545,1
Nebraska,2011-01-01,3324423.4935481856,128078.89483202777,1
Nebraska,2012-01-01,3437994.6909629675,124506.9385751885,1
Nebraska,2013-01-01,3499999.4476450784,126076.91762853187,1
Nebraska,2014-01-01,3526110.968132488,129380.905906448,1
Nebraska,2015-01-01,3612261.5715071494,133150.00349752215,1
Nebraska,2016-01-01,3728426.0,140976.1539093985,1
North Dakota,2009-01-01,1032590.4537053586,150151.24025085254,1
North Dakota,2010-01-01,1100817.9133088673,147815.29781737612,1
North Dakota,2011-01-01,1139642.8874668735,147098.66205278627,1
North Dakota,2012-01-01,1157356.1066413526,144714.92017364077,1
North Dakota,2013-01-01,1202003.1856359919,159711.21245017645,1
North Dakota,2014-01-01,1244987.893145204,172268.3371950438,1
North Dakota,2015-01-01,1369902.8251585905,183264.3075728224,1
North Dakota,2016-01-01,1393844.0,196346.15798907916,1
Ohio,2000-01-01,16720989.259873008,131736.18114520912,1
